transaction_id,account_number,customer_id,amount,currency,payment_method,payment_type,transaction_date,country,city,merchant_name,status
TXN202505120000,ACC53869582,CUST333620176210831104726327721148833975179,923.06,AED,DebitCard,Mobile Payment,2025-05-12T10:00:00Z,Egypt,Cairo,eBay,Pending
TXN202505120001,ACC32368976,CUST174785069734538588987580149610183591545,2850.52,EGP,CreditCard,Subscription,2025-05-12T10:00:05Z,Egypt,Cairo,Netflix,Completed
TXN202505120002,ACC43791501,CUST104030131387983679592865510179479410637,2420.05,EGP,DebitCard,Subscription,2025-05-12T10:00:10Z,USA,New York,Carrefour,Cancelled
TXN202505120003,ACC97431517,CUST204733682863161541988890127078319978055,2021.27,USD,PayPal,POS,2025-05-12T10:00:15Z,USA,New York,Apple,Cancelled
TXN202505120004,ACC93417279,CUST83755473209755515850848449075246665034,3226.32,EGP,CreditCard,Online Purchase,2025-05-12T10:00:20Z,USA,New York,Apple,Cancelled
TXN202505120005,ACC68271910,CUST333620176210831104726327721148833975179,1042.04,EUR,DebitCard,Subscription,2025-05-12T10:00:25Z,UAE,Dubai,Carrefour,Pending
TXN202505120006,ACC52929619,CUST289991132455881510188592003124332087632,2872.06,EGP,DebitCard,Subscription,2025-05-12T10:00:30Z,Germany,Berlin,Carrefour,Completed
TXN202505120007,ACC16808438,CUST287753791850555959581663569643061928701,2403.47,EUR,Cash,Mobile Payment,2025-05-12T10:00:35Z,USA,New York,Amazon,Completed
TXN202505120008,ACC55488715,CUST302121690154058639640490758534015123874,200.68,AED,DebitCard,Mobile Payment,2025-05-12T10:00:40Z,USA,New York,Walmart,Completed
TXN202505120009,ACC26091840,CUST5280722667629339526080566479358558246,4175.75,EGP,CreditCard,POS,2025-05-12T10:00:45Z,USA,New York,Apple,Cancelled
TXN202505120010,ACC69695762,CUST333620176210831104726327721148833975179,3838.33,EGP,PayPal,POS,2025-05-12T10:00:50Z,Egypt,Cairo,DigitalStore,Completed
TXN202505120011,ACC10534743,CUST203601641785634497342144891572521842460,2933.86,AED,Cash,Mobile Payment,2025-05-12T10:00:55Z,UAE,Dubai,eBay,Pending
TXN202505120012,ACC88303953,CUST281043743609155484461478328966609972141,1789.98,EGP,Cash,Subscription,2025-05-12T10:01:00Z,USA,New York,eBay,Pending
TXN202505120013,ACC79295195,CUST285577197567938366664530353289552912178,4319.54,EUR,DebitCard,Mobile Payment,2025-05-12T10:01:05Z,Egypt,Cairo,Apple,Pending
TXN202505120014,ACC87024566,CUST81095253971700136411423583414220162216,1113.34,EGP,Cash,Online Purchase,2025-05-12T10:01:10Z,Germany,Berlin,DigitalStore,Completed
TXN202505120015,ACC23275321,CUST333620176210831104726327721148833975179,4700.19,USD,CreditCard,Subscription,2025-05-12T10:01:15Z,USA,New York,QuickBuy,Cancelled
TXN202505120016,ACC81219531,CUST223908462131269987455783942216571606159,356.3,AED,CreditCard,Online Purchase,2025-05-12T10:01:20Z,Germany,Berlin,Netflix,Pending
TXN202505120017,ACC47638818,CUST23201754423621628719094765351501962484,2041.06,EGP,DebitCard,Mobile Payment,2025-05-12T10:01:25Z,Germany,Berlin,Carrefour,Pending
TXN202505120018,ACC81422046,CUST15402238544151701151244992274655444397,4966.66,EUR,DebitCard,POS,2025-05-12T10:01:30Z,USA,New York,eBay,Pending
TXN202505120019,ACC72699345,CUST66195368643600922931139585519760053693,3809.56,AED,DebitCard,Subscription,2025-05-12T10:01:35Z,USA,New York,eBay,Pending
TXN202505120020,ACC62375521,CUST333620176210831104726327721148833975179,2708.22,USD,Cash,Subscription,2025-05-12T10:01:40Z,Germany,Berlin,DigitalStore,Cancelled
TXN202505120021,ACC15741955,CUST223908462131269987455783942216571606159,4999.48,EGP,DebitCard,Mobile Payment,2025-05-12T10:01:45Z,Germany,Berlin,DigitalStore,Completed
TXN202505120022,ACC81903858,CUST260499653260454752860000947065854541795,3348.18,EGP,DebitCard,POS,2025-05-12T10:01:50Z,Egypt,Cairo,Amazon,Cancelled
TXN202505120023,ACC67202816,CUST145695418537027669833973675160682427362,657.01,AED,CreditCard,POS,2025-05-12T10:01:55Z,UAE,Dubai,Apple,Pending
TXN202505120024,ACC15937849,CUST109311705500152489273796924913114507608,4060.7,AED,Cash,Mobile Payment,2025-05-12T10:02:00Z,Egypt,Cairo,QuickBuy,Pending
TXN202505120025,ACC14835723,CUST333620176210831104726327721148833975179,1745.09,USD,Cash,Mobile Payment,2025-05-12T10:02:05Z,Germany,Berlin,Carrefour,Pending
TXN202505120026,ACC89127501,CUST157646704410325706591379063078425588882,4802.46,USD,CreditCard,POS,2025-05-12T10:02:10Z,USA,New York,QuickBuy,Cancelled
TXN202505120027,ACC64423612,CUST177445190175516559848478784793203750290,1800.98,EUR,CreditCard,Subscription,2025-05-12T10:02:15Z,UAE,Dubai,Apple,Cancelled
TXN202505120028,ACC36182623,CUST326603577279946535672249054627595603334,3534.66,USD,Cash,POS,2025-05-12T10:02:20Z,Egypt,Cairo,QuickBuy,Pending
TXN202505120029,ACC20921373,CUST89219390567230209452347506632527624121,3340.75,USD,DebitCard,Mobile Payment,2025-05-12T10:02:25Z,Germany,Berlin,Carrefour,Pending
TXN202505120030,ACC39906216,CUST333620176210831104726327721148833975179,4507.89,USD,Cash,Online Purchase,2025-05-12T10:02:30Z,UAE,Dubai,Carrefour,Pending
TXN202505120031,ACC47787185,CUST260891525990560878853783872790128971588,4724.99,AED,DebitCard,Mobile Payment,2025-05-12T10:02:35Z,Egypt,Cairo,Amazon,Cancelled
TXN202505120032,ACC85004504,CUST156667368166506187303467525406068165666,1195.9,USD,PayPal,Mobile Payment,2025-05-12T10:02:40Z,Egypt,Cairo,DigitalStore,Completed
TXN202505120033,ACC84087871,CUST15402238544151701151244992274655444397,688.72,USD,DebitCard,Subscription,2025-05-12T10:02:45Z,UAE,Dubai,Carrefour,Cancelled
TXN202505120034,ACC22341277,CUST113494054247906997148490423972145052674,2109.29,EGP,DebitCard,Mobile Payment,2025-05-12T10:02:50Z,Germany,Berlin,eBay,Cancelled
TXN202505120035,ACC93477036,CUST333620176210831104726327721148833975179,2622.13,EGP,PayPal,POS,2025-05-12T10:02:55Z,UAE,Dubai,DigitalStore,Cancelled
TXN202505120036,ACC34314571,CUST328831569523420234198124080826549887988,1966.21,AED,CreditCard,Online Purchase,2025-05-12T10:03:00Z,USA,New York,Netflix,Cancelled
TXN202505120037,ACC83621538,CUST289991132455881510188592003124332087632,3678.59,AED,DebitCard,Subscription,2025-05-12T10:03:05Z,Egypt,Cairo,Netflix,Completed
TXN202505120038,ACC14554464,CUST119574784304005297251506055636020828763,1314.87,AED,CreditCard,Subscription,2025-05-12T10:03:10Z,USA,New York,Apple,Pending
TXN202505120039,ACC99050734,CUST81022167948927650846998316310428391656,2991.34,EUR,Cash,POS,2025-05-12T10:03:15Z,USA,New York,Netflix,Pending
TXN202505120040,ACC16845960,CUST333620176210831104726327721148833975179,1263.61,AED,DebitCard,Mobile Payment,2025-05-12T10:03:20Z,USA,New York,Carrefour,Pending
TXN202505120041,ACC48104361,CUST83755473209755515850848449075246665034,3728.89,EUR,Cash,Mobile Payment,2025-05-12T10:03:25Z,Germany,Berlin,Apple,Completed
TXN202505120042,ACC41397644,CUST36681535117413249627573990390097572852,4848.84,EUR,CreditCard,POS,2025-05-12T10:03:30Z,UAE,Dubai,QuickBuy,Cancelled
TXN202505120043,ACC15592260,CUST302121690154058639640490758534015123874,202.23,USD,CreditCard,POS,2025-05-12T10:03:35Z,Germany,Berlin,Carrefour,Pending
TXN202505120044,ACC29591269,CUST98256440308571642624304518051978189163,2624.91,AED,Cash,POS,2025-05-12T10:03:40Z,UAE,Dubai,QuickBuy,Completed
TXN202505120045,ACC97869072,CUST333620176210831104726327721148833975179,310.06,EGP,CreditCard,Subscription,2025-05-12T10:03:45Z,UAE,Dubai,DigitalStore,Completed
